_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.19247911656716893, y=0.05698385455185581, z=-0.005774172059041419)","geometry_msgs.msg.Vector3(x=0.003739338034838921, y=0.0030488259801145215, z=0.01392710523302584)",1745575492659825610
"geometry_msgs.msg.Vector3(x=0.195228006713777, y=0.05645989621574953, z=-0.005017741908510649)","geometry_msgs.msg.Vector3(x=0.0036623678959302637, y=0.0026354434699192943, z=0.013801529510652126)",1745575492662768459
"geometry_msgs.msg.Vector3(x=0.19413277313558508, y=0.05511355286548976, z=-0.004989661956883902)","geometry_msgs.msg.Vector3(x=0.003578866118996132, y=0.00261145557249607, z=0.013470268918431897)",1745575492685210986
"geometry_msgs.msg.Vector3(x=0.1914924350130928, y=0.05447066818559971, z=-0.005248019757516848)","geometry_msgs.msg.Vector3(x=0.003555149439124774, y=0.0027471104472516095, z=0.013310723981909372)",1745575492707431240
"geometry_msgs.msg.Vector3(x=0.19514291875495762, y=0.05381193544140375, z=-0.005282327170282517)","geometry_msgs.msg.Vector3(x=0.0035171912533552506, y=0.0027616326969806403, z=0.013148457231807447)",1745575492738083953
"geometry_msgs.msg.Vector3(x=0.1963157765614105, y=0.0552151700776882, z=-0.005547123335342709)","geometry_msgs.msg.Vector3(x=0.0036181604545121723, y=0.002913777736471545, z=0.013492435515702611)",1745575492772570553
"geometry_msgs.msg.Vector3(x=0.18898071775946299, y=0.05538814393576849, z=-0.005794144688037292)","geometry_msgs.msg.Vector3(x=0.003643387355048401, y=0.0030488426467570246, z=0.013533786230292019)",1745575492816935238
"geometry_msgs.msg.Vector3(x=0.19772287124783486, y=0.055851847179927985, z=-0.006273006933778396)","geometry_msgs.msg.Vector3(x=0.003700188095806569, y=0.0033120585135190212, z=0.013645681075698371)",1745575492841554859
"geometry_msgs.msg.Vector3(x=0.19968905902943976, y=0.05532534909676383, z=-0.006037412498117727)","geometry_msgs.msg.Vector3(x=0.00365406974712183, y=0.0031804911237502294, z=0.01351708727593848)",1745575492880021126
"geometry_msgs.msg.Vector3(x=0.19000026446995677, y=0.05522628360615261, z=-0.008201653203584305)","geometry_msgs.msg.Vector3(x=0.0037778326482592346, y=0.004361719124460778, z=0.013481677293787854)",1745575492915480478
"geometry_msgs.msg.Vector3(x=0.18819891998996988, y=0.05574937155839604, z=-0.008433092610118589)","geometry_msgs.msg.Vector3(x=0.0038237547314136856, y=0.0044925560640213915, z=0.013609802193947172)",1745575492939322442
"geometry_msgs.msg.Vector3(x=0.19974010061526393, y=0.05519360986102339, z=-0.008886387891257758)","geometry_msgs.msg.Vector3(x=0.0038172075204498425, y=0.004738153159833204, z=0.013470122618497164)",1745575492984440193
"geometry_msgs.msg.Vector3(x=0.18889831766833115, y=0.055727019620331435, z=-0.008886695631042602)","geometry_msgs.msg.Vector3(x=0.0038498357660069265, y=0.004742109322102356, z=0.013602051334287673)",1745575493006716643
"geometry_msgs.msg.Vector3(x=0.19671661663894105, y=0.056235167094595556, z=-0.009374533642797145)","geometry_msgs.msg.Vector3(x=0.003910537392882256, y=0.005015071319013065, z=0.013725458346772608)",1745575493036496078
"geometry_msgs.msg.Vector3(x=0.19384095825707218, y=0.05678073983428686, z=-0.009123804870709322)","geometry_msgs.msg.Vector3(x=0.003928705939045985, y=0.004880655863867237, z=0.013861691470348601)",1745575493068677418
"geometry_msgs.msg.Vector3(x=0.19372604478826955, y=0.05891035097268804, z=-0.00910033372749582)","geometry_msgs.msg.Vector3(x=0.004057841504529023, y=0.004884438848044194, z=0.014389292822616681)",1745575493102256268
"geometry_msgs.msg.Vector3(x=0.2043653179881657, y=0.05534913042020683, z=-0.007483063159862096)","geometry_msgs.msg.Vector3(x=0.0037420689986059517, y=0.003968706178348858, z=0.01351565206549474)",1745575493145448877
"geometry_msgs.msg.Vector3(x=0.20129396525742718, y=0.05680685214154128, z=-0.006699731661151647)","geometry_msgs.msg.Vector3(x=0.0037839488686101912, y=0.003551056205197133, z=0.013879215033807056)",1745575493167073980
"geometry_msgs.msg.Vector3(x=0.2008391097701177, y=0.0552818991097923, z=-0.0070036596356865535)","geometry_msgs.msg.Vector3(x=0.0037091988130563817, y=0.0037062896375167284, z=0.013501483679525226)",1745575493200419528
"geometry_msgs.msg.Vector3(x=0.19841346749990718, y=0.05792354243958281, z=-0.007688389461456013)","geometry_msgs.msg.Vector3(x=0.003911677132297115, y=0.0040997329433088755, z=0.014150691126904818)",1745575493233074014
"geometry_msgs.msg.Vector3(x=0.20432445749638373, y=0.05707347688912025, z=-0.005999758097995724)","geometry_msgs.msg.Vector3(x=0.003758281152878279, y=0.00317196471456246, z=0.01394817769474713)",1745575493268510233
