_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.057844118114198186, y=0.00876700545224968, z=0.13556716875970087)","geometry_msgs.msg.Vector3(x=0.0023096650751633315, y=0.10096128301627273, z=0.020807871817539392)",1745570279897243351
"geometry_msgs.msg.Vector3(x=0.057503567636432974, y=0.006761932447866357, z=0.13254602783800296)","geometry_msgs.msg.Vector3(x=0.005049080218062221, y=0.10039901818223725, z=0.019839086709736782)",1745570279921156517
"geometry_msgs.msg.Vector3(x=0.0578466526545677, y=0.00882693261144864, z=0.12923068919589853)","geometry_msgs.msg.Vector3(x=0.0022087399467741005, y=0.10087211025976746, z=0.020820137060884165)",1745570279957280195
"geometry_msgs.msg.Vector3(x=0.0578466526545677, y=0.00882693261144864, z=0.12923068919589853)","geometry_msgs.msg.Vector3(x=0.0022087399467741005, y=0.10087211025976746, z=0.020820137060884165)",1745570279992100732
"geometry_msgs.msg.Vector3(x=0.057773772155927224, y=0.008396329054582638, z=0.13286365628283053)","geometry_msgs.msg.Vector3(x=0.0027866276179028286, y=0.10070176452047658, z=0.02060473992167457)",1745570280025243864
"geometry_msgs.msg.Vector3(x=0.057773772155927224, y=0.008396329054582638, z=0.13286365628283053)","geometry_msgs.msg.Vector3(x=0.0027866276179028286, y=0.10070176452047658, z=0.02060473992167457)",1745570280060810091
"geometry_msgs.msg.Vector3(x=0.05773651937071481, y=0.008417931856209355, z=0.11996459608215138)","geometry_msgs.msg.Vector3(x=0.0026535484528421513, y=0.10014484726566801, z=0.02052725242399792)",1745570280092811359
"geometry_msgs.msg.Vector3(x=0.05760691055767381, y=0.007136792628112082, z=0.12774867825968717)","geometry_msgs.msg.Vector3(x=0.004650403215119149, y=0.10108412773228868, z=0.020108689091648795)",1745570280125907824
"geometry_msgs.msg.Vector3(x=0.05760691055767381, y=0.007136792628112082, z=0.12774867825968717)","geometry_msgs.msg.Vector3(x=0.004650403215119149, y=0.10108412773228868, z=0.020108689091648795)",1745570280159821702
"geometry_msgs.msg.Vector3(x=0.057491694918008256, y=0.00674186742880213, z=0.13159786476748958)","geometry_msgs.msg.Vector3(x=0.005052524041130861, y=0.1002731694316743, z=0.019811190208951557)",1745570280192643580
"geometry_msgs.msg.Vector3(x=0.057429401086989997, y=0.006155678640041049, z=0.11855481840570542)","geometry_msgs.msg.Vector3(x=0.0059979571651030674, y=0.100804376871571, z=0.019631456255522765)",1745570280224334042
"geometry_msgs.msg.Vector3(x=0.05719222225923028, y=0.004905797459877914, z=0.1076297596963427)","geometry_msgs.msg.Vector3(x=0.007730995344411605, y=0.10050293947735076, z=0.019030142386243922)",1745570280259130594
